Iteration,RunTime,Profit
0,0.0,739
1,1.6165549755096436,745
2,4.761015176773071,749
3,8.567891120910645,751
4,13.764265060424805,751
5,21.68553400039673,752
6,28.58820414543152,752
7,34.5196750164032,752
8,39.49266004562378,755
9,49.2231969833374,755
10,55.86293697357178,756
11,64.514328956604,756
12,68.9751250743866,756
13,74.8871397972107,756
14,81.84712719917297,756
15,88.49334716796875,757
16,96.27231121063232,757
17,111.69924521446228,757
18,118.38274908065796,758
19,127.63951396942139,758
20,133.108234167099,758
21,140.92032384872437,758
22,149.30349707603455,759
23,160.46588015556335,759
24,164.59158515930176,759
25,169.14496994018555,759
26,173.76044011116028,761
27,180.8558530807495,761
28,197.03253889083862,761
29,204.8870940208435,761
30,210.47287702560425,761
31,217.31145405769348,761
32,222.7383041381836,762
33,235.2048020362854,762
34,243.7836720943451,764
35,250.12882494926453,765
36,258.06195306777954,765
37,265.7492570877075,765
38,272.9324839115143,765
39,278.63643503189087,765
40,311.10869312286377,765
41,320.1302831172943,765
42,326.47075510025024,765
43,338.603875875473,765
44,350.0489318370819,765
45,358.0885400772095,765
46,364.1039171218872,765
47,369.9003939628601,765
48,376.2698619365692,765
49,394.1944808959961,765
50,402.16922903060913,768
51,411.262414932251,768
52,421.6855540275574,768
53,436.05489206314087,768
54,444.41626596450806,768
55,451.51079511642456,768
56,462.59903287887573,768
57,505.17021918296814,768
58,516.2474901676178,768
59,524.8246901035309,768
60,532.222727060318,768
61,538.9137768745422,768
62,548.3908722400665,768
63,553.6590721607208,768
64,566.0721600055695,768
65,583.1491091251373,768
66,596.7205300331116,768
67,604.2772371768951,768
68,619.7416689395905,768
69,637.6939651966095,768
70,648.339809179306,768
71,658.596920967102,768
72,667.372526884079,768
73,680.6479980945587,768
74,691.432813167572,768
75,698.6035010814667,768
76,704.0753858089447,768
77,709.8898859024048,771
78,728.4945180416107,771
79,747.543429851532,771
80,756.3603730201721,771
81,766.5825979709625,771
82,773.9585800170898,771
83,784.4272861480713,771
84,815.8934049606323,771
85,830.262904882431,771
86,842.474035024643,771
87,852.8765790462494,771
88,870.0446910858154,771
89,880.5647070407867,771
90,894.1660549640656,771
91,905.1069750785828,771
92,915.6657428741455,771
93,924.5796301364899,771
94,936.3343629837036,771
95,953.9554581642151,771
96,970.4315929412842,771
97,998.0245289802551,771
98,1008.7230091094971,771
99,1025.4848651885986,771
100,1045.6379189491272,771
101,1053.828607082367,771
102,1063.5766389369965,771
103,1072.0043380260468,771
104,1080.2782621383667,771
105,1087.4220600128174,771
106,1094.658343076706,771
107,1114.266389131546,771
108,1122.587632894516,771
109,1149.4221880435944,771
110,1163.5379619598389,771
111,1184.8071110248566,771
112,1191.6812949180603,771
113,1200.8115410804749,771
114,1214.9997849464417,771
115,1226.498389005661,771
116,1239.8383560180664,771
117,1255.0967900753021,771
118,1268.2305700778961,771
119,1278.6481449604034,771
120,1286.6727440357208,771
121,1293.2026100158691,771
122,1301.6430070400238,771
123,1309.0747909545898,771
124,1319.8121190071106,771
125,1327.8638951778412,771
126,1334.9570162296295,771
127,1343.382355928421,771
128,1365.31232380867,771
129,1373.16211104393,771
130,1382.108630180359,771
131,1400.377998828888,771
132,1405.5109770298004,773
133,1421.302062034607,773
134,1437.178589105606,773
135,1468.4375050067902,773
136,1512.4958112239838,773
137,1528.5789132118225,773
138,1541.9811170101166,773
139,1552.7954609394073,773
140,1568.9040839672089,773
141,1585.5244119167328,773
142,1604.374438047409,773
143,1617.6828260421753,773
144,1828.8574090003967,773
145,1839.0947849750519,773
146,1848.1130487918854,773
147,1858.663950920105,773
148,1868.5919711589813,773
149,1878.694316148758,773
150,1888.7599289417267,773
151,1899.663377046585,773
152,1906.2659211158752,773
153,1917.3652710914612,773
154,1928.7697050571442,773
155,1943.9080829620361,773
156,1958.4869310855865,773
157,1969.755931854248,773
158,1978.9749541282654,773
159,1984.752650976181,773
160,1992.8556191921234,773
161,2000.2931900024414,773
162,2013.0470311641693,773
163,2023.9824430942535,773
164,2032.574553012848,773
165,2052.649646997452,773
166,2063.963492870331,773
167,2076.631487131119,773
168,2090.8516199588776,773
169,2096.773409128189,773
170,2107.994797229767,773
171,2114.557592153549,773
172,2129.2744221687317,773
173,2148.7618279457092,773
174,2163.9106991291046,773
175,2172.579092025757,773
176,2187.0113360881805,773
177,2216.058471918106,773
178,2228.969130039215,773
179,2245.7714750766754,773
180,2254.3585929870605,773
181,2266.379101037979,773
182,2274.223963022232,773
183,2282.0285000801086,773
184,2291.1654348373413,773
185,2301.4209291934967,773
186,2311.4979400634766,773
187,2322.4618380069733,773
188,2333.00488615036,773
189,2340.1443798542023,773
190,2349.2591161727905,773
191,2358.433262825012,773
192,2368.467908859253,773
193,2379.710505962372,773
194,2391.838816165924,773
195,2415.565510034561,773
196,2430.1997451782227,773
197,2440.509080171585,773
198,2455.9228801727295,773
199,2474.2138969898224,773
200,2485.9848651885986,773
201,2493.8328688144684,773
202,2509.4442570209503,773
203,2523.4655849933624,773
204,2538.5478410720825,773
205,2555.851495027542,773
206,2568.886445045471,773
207,2589.466369152069,773
208,2600.894758939743,773
209,2669.6767361164093,773
210,2682.380846977234,773
211,2691.362725019455,773
212,2713.084984064102,773
213,2730.9872908592224,773
214,2747.9321501255035,773
215,2757.2513558864594,773
216,2775.3484740257263,773
217,2791.3457758426666,773
218,2802.5596990585327,773
219,2810.893131017685,773
220,2828.112834215164,773
221,2839.066591024399,773
222,2855.7853190898895,773
223,2870.853182077408,773
224,2892.273013114929,773
225,2903.9775760173798,773
