Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit,MaxRandomMoves
7_2_1,10000,1e-10,0.99,772,2797.0,274,58,907.8182,900,100
7_2_1,10000,1e-10,0.99,766,3179.0,271,16,938.2055,900,1000
7_2_1,10000,1e-20,0.9,769,2190.0,273,396,900.588,900,100
7_2_1,10000,1e-20,0.9,767,3141.0,272,117,906.9974,900,1000
7_2_1,10000,1e-20,0.95,770,2764.0,273,186,900.5559,900,100
7_2_1,10000,1e-20,0.95,767,3382.0,272,54,927.9281,900,1000
7_2_1,10000,1e-20,0.99,768,2791.0,272,38,922.4978,900,100
7_2_1,10000,1e-20,0.99,762,3368.0,270,14,994.1695,900,1000
7_2_1,10000,1e-40,0.9,768,2545.0,272,209,902.9823,900,100
7_2_1,10000,1e-40,0.9,763,3243.0,271,59,905.112,900,1000
7_2_1,10000,1e-40,0.95,766,3472.0,272,83,907.1897,900,100
7_2_1,10000,1e-40,0.95,764,3452.0,271,36,901.7118,900,1000
7_2_1,10000,1e-40,0.99,767,4001.0,272,20,942.2357,900,100
7_2_1,10000,1e-40,0.99,760,3150.0,269,9,907.5764,900,1000
7_5_1,100,1e-10,0.9,1667,8177.0,643,895,900.567,900,100
7_5_1,100,1e-10,0.9,1665,7962.0,645,404,901.4682,900,1000
7_5_1,100,1e-10,0.95,1663,7442.0,643,430,902.5799,900,100
7_5_1,100,1e-10,0.95,1668,6805.0,643,183,900.8858,900,1000
7_5_1,100,1e-10,0.99,1671,7512.0,646,95,906.3076,900,100
7_5_1,100,1e-10,0.99,1667,8064.0,646,47,904.0155,900,1000
7_5_1,100,1e-20,0.9,1668,7024.0,645,490,900.5083,900,100
7_5_1,100,1e-20,0.9,1665,9239.0,644,266,903.4334,900,1000
7_5_1,100,1e-20,0.95,1664,7980.0,643,274,903.8418,900,100
7_5_1,100,1e-20,0.95,1665,7673.0,644,120,903.5341,900,1000
7_5_1,100,1e-20,0.99,1670,8942.0,645,54,905.5583,900,100
7_5_1,100,1e-20,0.99,1665,9976.0,643,30,939.7667,900,1000
7_5_1,100,1e-40,0.9,1662,8643.0,645,302,901.7877,900,100
7_5_1,100,1e-40,0.9,1663,6038.0,646,130,902.4974,900,1000
7_5_1,100,1e-40,0.95,1666,8151.0,645,134,906.4276,900,100
7_5_1,100,1e-40,0.95,1662,10173.0,640,70,923.4144,900,1000
7_5_1,100,1e-40,0.99,1665,8864.0,645,25,947.7883,900,100
7_5_1,100,1e-40,0.99,1655,11568.0,639,16,913.858,900,1000
7_5_1,1000,1e-10,0.9,1666,6588.0,638,602,901.0749,900,100
7_5_1,1000,1e-10,0.9,1666,5977.0,640,273,901.1127,900,1000
7_5_1,1000,1e-10,0.95,1670,6880.0,638,329,902.3803,900,100
7_5_1,1000,1e-10,0.95,1664,6227.0,638,125,911.3286,900,1000
7_5_1,1000,1e-10,0.99,1666,6646.0,639,71,905.6909,900,100
7_5_1,1000,1e-10,0.99,1664,7756.0,640,23,937.0035,900,1000
7_5_1,1000,1e-20,0.9,1667,6816.0,642,406,900.8804,900,100
7_5_1,1000,1e-20,0.9,1663,7064.0,639,151,906.4641,900,1000
