Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit,IterationsMax
7_5_1,1000,1e-10,0.95,1666,5976.0,640,150,908.5066,900,10000
7_5_1,1000,1e-10,0.99,1664,8705.0,640,23,991.1003,900,10000
7_5_1,1000,1e-20,0.9,1668,6966.0,640,205,905.1711,900,10000
7_5_1,1000,1e-40,0.9,1672,6245.0,644,121,920.6227,900,10000
7_5_1,10000,1e-10,0.9,1665,5606.0,636,274,903.8256,900,10000
7_5_1,10000,1e-10,0.95,1663,6977.0,636,137,913.0948,900,10000
7_5_1,10000,1e-10,0.99,1661,8271.0,636,13,1019.6024,900,10000
7_5_1,10000,1e-20,0.9,1668,6198.0,640,182,901.6594,900,10000
7_5_1,10000,1e-40,0.9,1670,5620.0,644,96,901.1419,900,10000
7_8_1,100,1e-10,0.9,2175,11353.0,945,1059,900.824,900,10000
7_8_1,100,1e-10,0.95,2170,12965.0,940,576,901.9814,900,10000
7_8_1,100,1e-10,0.99,2172,13133.0,943,109,906.4594,900,10000
7_8_1,100,1e-20,0.9,2174,14028.0,943,674,900.8284,900,10000
7_8_1,100,1e-40,0.9,2171,13430.0,940,417,900.6658,900,10000
7_8_1,1000,1e-10,0.9,2175,11697.0,940,848,900.8781,900,10000
7_8_1,1000,1e-10,0.95,2171,10024.0,941,391,901.0811,900,10000
7_8_1,1000,1e-10,0.99,2165,12333.0,933,33,910.6698,900,10000
7_8_1,1000,1e-20,0.9,2173,10934.0,943,527,901.5168,900,10000
7_8_1,1000,1e-40,0.9,2172,11307.0,942,258,902.6291,900,10000
7_8_1,10000,1e-10,0.9,2168,9040.0,932,784,902.0003,900,10000
7_8_1,10000,1e-10,0.95,2166,10140.0,934,288,900.4406,900,10000
7_8_1,10000,1e-10,0.99,2150,16009.0,918,16,1004.7979,900,10000
7_8_1,10000,1e-20,0.9,2169,10371.0,938,448,902.2081,900,10000
7_8_1,10000,1e-40,0.9,2174,10292.0,940,247,907.4466,900,10000
