Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit,MaxRandomMoves
7_8_1,100,1e-40,0.9,2171,14863.0,939,297,905.0774,900,1000
7_8_1,100,1e-40,0.95,2164,16536.0,937,208,904.7582,900,100
7_8_1,100,1e-40,0.95,2165,16070.0,937,126,904.9413,900,1000
7_8_1,100,1e-40,0.99,2169,15656.0,939,45,901.0549,900,100
7_8_1,100,1e-40,0.99,2168,14895.0,941,36,936.6741,900,1000
7_8_1,1000,1e-10,0.9,2167,10895.0,934,1016,901.3571,900,100
7_8_1,1000,1e-10,0.9,2168,10330.0,937,564,900.7392,900,1000
7_8_1,1000,1e-10,0.95,2167,11165.0,936,545,901.8056,900,100
7_8_1,1000,1e-10,0.95,2169,10369.0,938,286,904.5029,900,1000
7_8_1,1000,1e-10,0.99,2163,12361.0,931,70,906.5928,900,100
7_8_1,1000,1e-10,0.99,2163,13701.0,932,36,979.3809,900,1000
7_8_1,1000,1e-20,0.9,2164,11576.0,932,467,901.3319,900,100
7_8_1,1000,1e-20,0.9,2171,10289.0,943,327,901.6374,900,1000
7_8_1,1000,1e-20,0.95,2168,11211.0,938,289,902.513,900,100
7_8_1,1000,1e-20,0.95,2169,11479.0,939,183,904.7816,900,1000
7_8_1,1000,1e-20,0.99,2168,12967.0,937,57,907.1715,900,100
7_8_1,1000,1e-20,0.99,2162,15662.0,934,28,939.8684,900,1000
7_8_1,1000,1e-40,0.9,2167,12660.0,939,350,902.3384,900,100
7_8_1,1000,1e-40,0.9,2169,13332.0,942,196,903.1417,900,1000
7_8_1,1000,1e-40,0.95,2168,12170.0,936,166,907.253,900,100
7_8_1,1000,1e-40,0.95,2171,12132.0,940,101,904.5793,900,1000
7_8_1,1000,1e-40,0.99,2168,14158.0,936,34,908.753,900,100
7_8_1,1000,1e-40,0.99,2171,13185.0,939,19,978.0071,900,1000
7_8_1,10000,1e-10,0.9,2159,10685.0,929,950,900.8762,900,100
7_8_1,10000,1e-10,0.9,2165,8901.0,932,495,901.627,900,1000
7_8_1,10000,1e-10,0.95,2160,10296.0,929,473,902.4954,900,100
7_8_1,10000,1e-10,0.95,2162,10942.0,930,226,903.1545,900,1000
7_8_1,10000,1e-10,0.99,2162,12438.0,931,82,902.6925,900,100
7_8_1,10000,1e-10,0.99,2154,14502.0,923,28,928.4803,900,1000
7_8_1,10000,1e-20,0.9,2165,11435.0,932,515,902.0197,900,100
7_8_1,10000,1e-20,0.9,2163,12292.0,932,228,902.0966,900,1000
7_8_1,10000,1e-20,0.95,2162,11113.0,930,210,901.3235,900,100
7_8_1,10000,1e-20,0.95,2166,10494.0,931,121,902.3262,900,1000
7_8_1,10000,1e-20,0.99,2164,13881.0,930,48,906.9863,900,100
7_8_1,10000,1e-20,0.99,2159,15456.0,929,19,974.2746,900,1000
7_8_1,10000,1e-40,0.9,2169,11859.0,936,328,901.7951,900,100
7_8_1,10000,1e-40,0.9,2167,13033.0,933,190,904.1994,900,1000
7_8_1,10000,1e-40,0.95,2168,10491.0,937,154,902.2956,900,100
7_8_1,10000,1e-40,0.95,2165,12215.0,936,86,901.283,900,1000
7_8_1,10000,1e-40,0.99,2166,13472.0,933,28,901.0906,900,100
7_8_1,10000,1e-40,0.99,2165,14945.0,935,14,1015.6046,900,1000
