Instance,Profit,WaitingTime,TotalTasks,Iterations,RunTime
7_2_1,750,8559.0,266,1,9.7628
7_2_2,752,6569.0,269,1,10.3017
7_5_1,1613,17645.0,620,1,22.3683
7_5_2,1615,19909.0,619,1,18.2672
7_8_1,2113,30510.0,895,1,32.7565
7_8_2,2093,31774.0,885,1,32.9375
7_10_1,2303,71024.0,1070,1,33.2041
7_10_2,2303,78976.0,1070,1,37.8007
