Instance,MainTasks,sublists_to_modify,consecutive_to_remove,threshold,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_5_1,False,5,6,9,2023,6796.0,784,56,386.0537,360
7_5_1,False,5,9,3,2021,6375.0,783,41,387.1607,360
7_5_1,False,5,9,6,2014,6318.0,782,42,387.3207,360
7_5_1,False,5,9,9,2018,6471.0,780,41,401.4543,360
7_5_1,False,8,3,3,2024,6619.0,786,51,418.961,360
7_5_1,False,8,3,6,2020,5501.0,785,50,386.7686,360
7_5_1,False,8,3,9,2020,6035.0,784,45,387.134,360
7_5_1,False,8,6,3,2021,7514.0,782,19,387.6968,360
7_5_1,False,8,6,6,2021,7514.0,782,18,425.6905,360
7_5_1,False,8,6,9,2021,7514.0,782,18,426.5955,360
7_5_1,False,8,9,3,2015,6560.0,778,21,389.7556,360
7_5_1,False,8,9,6,2016,6852.0,779,19,396.4546,360
7_5_1,False,8,9,9,2008,8407.0,776,17,382.9743,360
