Instance,Profit,WaitingTime,TotalTasks,RunTime
7_2_1,739,5741.0,262,7.1268
7_2_2,731,6785.0,260,7.3019
7_5_1,1583,18178.0,603,9.7269
7_5_2,1595,18203.0,608,9.2406
7_8_1,2087,29519.0,870,13.2599
7_8_2,2066,28755.0,861,13.2763
7_10_1,2303,49863.0,1070,17.929
7_10_2,2303,48437.0,1070,17.8513
