Instance,MainTasks,sublists_to_modify,consecutive_to_remove,start_temperature,temp_decrease_factor,maxInnerLoop,maxIterationsWithoutImprovement,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_5_1,True,2,9,100,0.95,50,10.0,1626,13898.0,621,4,515.2721,360
7_5_1,True,2,9,100,0.99,10,2.0,1632,12396.0,626,13,378.5607,360
7_5_1,True,2,9,100,0.99,50,10.0,1626,13898.0,621,4,510.4169,360
7_5_1,True,2,9,1000,0.9,10,2.0,1632,12396.0,626,13,380.0022,360
7_5_1,True,2,9,1000,0.9,50,10.0,1628,13529.0,623,3,379.3071,360
7_5_1,True,2,9,1000,0.95,10,2.0,1632,12396.0,626,13,380.5949,360
7_5_1,True,2,9,1000,0.95,50,10.0,1628,13529.0,623,3,382.3966,360
7_5_1,True,2,9,1000,0.99,10,2.0,1632,12396.0,626,13,379.7678,360
7_5_1,True,2,9,1000,0.99,50,10.0,1628,13529.0,623,3,380.9396,360
7_5_1,True,8,3,100,0.9,10,2.0,1633,12190.0,629,6,419.709,360
7_5_1,True,8,3,100,0.9,50,10.0,1639,11768.0,630,2,393.0159,360
7_5_1,True,8,3,100,0.95,10,2.0,1633,12190.0,629,6,424.0937,360
7_5_1,True,8,3,100,0.95,50,10.0,1639,11768.0,630,2,396.8797,360
7_5_1,True,8,3,100,0.99,10,2.0,1630,13671.0,627,6,421.2427,360
7_5_1,True,8,3,100,0.99,50,10.0,1639,11768.0,630,2,395.5218,360
7_5_1,True,8,3,1000,0.9,10,2.0,1624,14950.0,626,5,384.1459,360
7_5_1,True,8,3,1000,0.9,50,10.0,1637,13261.0,630,2,405.1826,360
7_5_1,True,8,3,1000,0.95,10,2.0,1624,14950.0,626,5,388.7877,360
7_5_1,True,8,3,1000,0.95,50,10.0,1637,13261.0,630,2,407.102,360
7_5_1,True,8,3,1000,0.99,10,2.0,1624,14950.0,626,5,391.3428,360
7_5_1,True,8,3,1000,0.99,50,10.0,1637,13261.0,630,2,407.9263,360
7_5_1,True,8,9,100,0.9,10,2.0,1607,16752.0,609,3,418.4608,360
7_5_1,True,8,9,100,0.9,50,10.0,1605,17547.0,607,2,1177.5278,360
7_5_1,True,8,9,100,0.95,10,2.0,1607,16752.0,609,3,395.2813,360
7_5_1,True,8,9,100,0.95,50,10.0,1605,17547.0,607,2,1176.6775,360
7_5_1,True,8,9,100,0.99,10,2.0,1607,16752.0,609,3,413.8117,360
7_5_1,True,8,9,100,0.99,50,10.0,1605,17547.0,607,2,1201.6244,360
7_5_1,True,8,9,1000,0.9,10,2.0,1607,16752.0,609,3,412.9077,360
7_5_1,True,8,9,1000,0.9,50,10.0,1605,17547.0,607,2,1069.2833,360
7_5_1,True,8,9,1000,0.95,10,2.0,1607,16752.0,609,3,413.9891,360
7_5_1,True,8,9,1000,0.95,50,10.0,1605,17547.0,607,2,1064.5271,360
7_5_1,True,8,9,1000,0.99,10,2.0,1607,16752.0,609,3,410.2317,360
7_5_1,True,8,9,1000,0.99,50,10.0,1605,17547.0,607,2,1057.0073,360
7_8_1,True,2,3,100,0.9,10,2.0,2150,19760.0,919,29,376.627,360
7_8_1,True,2,3,100,0.9,50,10.0,2151,19020.0,924,7,420.9809,360
7_8_1,True,2,3,100,0.95,10,2.0,2149,20840.0,917,29,389.1866,360
7_8_1,True,2,3,100,0.95,50,10.0,2152,18444.0,925,7,409.7067,360
7_8_1,True,2,3,100,0.99,10,2.0,2149,20840.0,917,29,386.9357,360
7_8_1,True,2,3,100,0.99,50,10.0,2152,18444.0,925,7,413.021,360
7_8_1,True,2,3,1000,0.9,10,2.0,2149,20840.0,917,29,389.1782,360
7_8_1,True,2,3,1000,0.9,50,10.0,2152,18444.0,925,7,411.1062,360
7_8_1,True,2,3,1000,0.95,10,2.0,2149,20675.0,917,28,376.0542,360
7_8_1,True,2,3,1000,0.95,50,10.0,2152,18444.0,925,7,416.0493,360
7_8_1,True,2,3,1000,0.99,10,2.0,2149,20840.0,917,29,388.9211,360
7_8_1,True,2,3,1000,0.99,50,10.0,2152,18444.0,925,7,412.7387,360
7_8_1,True,2,9,100,0.9,10,2.0,2138,22097.0,908,12,403.5392,360
7_8_1,True,2,9,100,0.9,50,10.0,2136,20407.0,915,3,383.2864,360
7_8_1,True,2,9,100,0.95,10,2.0,2138,22097.0,908,12,404.4832,360
7_8_1,True,2,9,100,0.95,50,10.0,2136,20407.0,915,3,379.0363,360
7_8_1,True,2,9,100,0.99,10,2.0,2138,22097.0,908,12,401.3304,360
7_8_1,True,2,9,100,0.99,50,10.0,2136,20407.0,915,3,378.5356,360
7_8_1,True,2,9,1000,0.9,10,2.0,2138,22097.0,908,12,399.1926,360
7_8_1,True,2,9,1000,0.9,50,10.0,2136,20407.0,915,3,376.2366,360
7_8_1,True,2,9,1000,0.95,10,2.0,2138,22097.0,908,12,398.383,360
7_8_1,True,2,9,1000,0.95,50,10.0,2136,20407.0,915,3,378.2465,360
