Iteration,RunTime,Profit
0,0.0,1966
2,40.051782846450806,2009
3,54.96265006065369,2011
4,65.72838091850281,2013
5,77.67456102371216,2015
6,90.07553195953369,2016
7,103.81233501434326,2023
8,112.48617792129517,2025
9,124.53957986831665,2025
10,133.81756591796875,2025
11,149.13747882843018,2025
12,158.94177889823914,2025
13,169.97088098526,2026
14,183.7493839263916,2026
15,194.76515698432922,2026
16,205.11761617660522,2026
17,217.29418015480042,2027
18,228.12110996246338,2028
19,241.57801008224487,2029
20,250.93237400054932,2030
21,260.4127118587494,2030
22,271.2897551059723,2031
23,283.91479086875916,2031
24,297.0507378578186,2031
25,306.1144540309906,2031
26,315.2996189594269,2031
27,328.68077301979065,2031
28,339.40104389190674,2033
29,352.24911093711853,2033
30,362.6828010082245,2033
31,373.1210868358612,2034
32,382.2761299610138,2035
33,391.992712020874,2035
34,405.57648396492004,2035
35,418.7559869289398,2035
36,434.77478289604187,2035
37,444.98012590408325,2035
38,455.20945405960083,2036
39,466.83559918403625,2036
40,476.538635969162,2037
41,489.54332399368286,2038
42,499.2134199142456,2038
43,514.5484290122986,2038
44,527.8938720226288,2038
45,541.3438971042633,2038
46,550.9885518550873,2038
47,560.6202161312103,2038
48,570.236074924469,2038
49,582.6792190074921,2038
50,595.6050338745117,2038
51,605.8742730617523,2038
52,615.0319538116455,2038
53,626.8294579982758,2038
54,639.6783559322357,2038
55,655.5859310626984,2038
56,665.7697331905365,2038
57,676.1189408302307,2038
58,685.7276930809021,2038
59,695.5055108070374,2038
60,706.3055119514465,2038
61,718.7834720611572,2038
62,735.1480810642242,2038
63,745.6006908416748,2039
64,754.9304618835449,2039
65,764.2923378944397,2039
66,773.9912049770355,2039
67,786.1069910526276,2039
68,796.2815129756927,2039
69,808.8069398403168,2039
70,818.381383895874,2039
71,827.63618516922,2039
72,837.233626127243,2039
73,846.5673539638519,2039
74,856.6398420333862,2040
75,868.8528890609741,2040
76,881.0451509952545,2040
77,896.6805601119995,2040
78,910.2154958248138,2040
79,919.907387971878,2040
80,933.8223180770874,2040
81,947.7101249694824,2041
82,957.711669921875,2041
83,967.3434219360352,2041
84,977.0375638008118,2042
85,989.9334189891815,2042
86,1002.8373320102692,2042
87,1012.5550248622894,2042
88,1022.2374048233032,2042
89,1039.2574350833893,2042
90,1052.2669858932495,2042
91,1068.5425720214844,2042
92,1078.0653748512268,2042
93,1091.524927854538,2042
94,1101.226403951645,2042
95,1110.8340101242065,2042
96,1126.629831790924,2042
97,1148.886862039566,2042
98,1161.8841679096222,2042
99,1171.713346004486,2042
100,1184.8017888069153,2042
101,1194.7521998882294,2042
102,1207.83984208107,2042
103,1220.0481190681458,2042
104,1229.9819588661194,2042
105,1241.9765849113464,2042
106,1252.3365161418915,2042
107,1265.111268043518,2043
108,1274.2972478866577,2043
109,1283.5642249584198,2043
110,1296.6734461784363,2043
111,1306.580734014511,2043
112,1319.5573937892914,2043
113,1331.3973410129547,2043
114,1340.7384371757507,2043
115,1350.3638961315155,2043
116,1359.976858139038,2043
117,1370.2408418655396,2043
118,1383.899931192398,2043
119,1396.3293180465698,2043
120,1405.7254650592804,2043
121,1418.4194679260254,2043
122,1427.6556091308594,2043
123,1437.4528949260712,2043
124,1447.8124060630798,2043
125,1457.0558741092682,2043
126,1473.005010843277,2043
127,1486.051342010498,2043
128,1495.8772370815277,2043
129,1505.2825651168823,2043
130,1514.995276927948,2043
131,1527.573539018631,2043
132,1537.0275959968567,2043
133,1547.010922908783,2043
134,1559.5127539634705,2043
135,1569.0452468395233,2043
136,1578.9954481124878,2043
137,1588.6095809936523,2043
138,1598.1351869106293,2043
139,1610.9085791110992,2043
140,1621.0825409889221,2043
141,1633.1659750938416,2043
142,1643.723305940628,2043
143,1653.4802799224854,2043
144,1663.6559998989105,2043
145,1673.3136179447174,2043
146,1682.435672044754,2043
147,1692.0430788993835,2043
148,1701.9188809394836,2043
149,1715.5554089546204,2043
150,1724.6228890419006,2043
151,1734.4546029567719,2043
152,1744.2099421024323,2043
153,1756.7060751914978,2043
154,1766.331741809845,2043
155,1776.1331939697266,2044
156,1792.0825741291046,2044
157,1801.4788689613342,2044
158,1811.4152791500092,2044
159,1821.21630692482,2044
160,1831.0641121864319,2044
161,1840.580559015274,2044
162,1853.9127609729767,2044
163,1870.0747168064117,2044
164,1882.2303128242493,2044
165,1892.1758930683136,2044
166,1901.4252541065216,2044
167,1913.6569027900696,2044
168,1923.629008769989,2044
169,1935.816913843155,2044
170,1945.335207939148,2044
171,1955.3456208705902,2044
172,1964.7864010334015,2044
173,1974.2258899211884,2044
174,1986.4716839790344,2044
175,1996.5392670631409,2044
176,2009.6436421871185,2044
177,2019.2051479816437,2044
178,2032.2173948287964,2044
179,2041.8658459186554,2044
180,2050.9152371883392,2044
181,2060.520350933075,2044
182,2070.1631319522858,2044
183,2079.7263770103455,2044
184,2089.5070440769196,2044
185,2102.606432914734,2044
186,2112.337194919586,2044
187,2122.060353040695,2045
188,2131.8865740299225,2045
189,2144.570240020752,2045
190,2154.3306801319122,2045
191,2164.048727989197,2045
192,2173.982507944107,2045
193,2183.6154220104218,2045
194,2195.5267140865326,2045
195,2205.1778309345245,2045
196,2218.0625550746918,2045
197,2227.710427761078,2045
198,2236.9165439605713,2045
199,2246.489310026169,2045
200,2255.7654609680176,2045
201,2265.5356369018555,2045
202,2278.411197900772,2045
203,2293.0891098976135,2045
204,2302.947811126709,2045
205,2312.1251180171967,2045
206,2325.154888868332,2045
207,2334.9550631046295,2045
208,2344.2972259521484,2045
