Instance,Profit,WaitingTime,TotalTasks,RunTime
7_2_1,734,5470.0,262,3.6688
7_2_2,729,8806.0,262,3.6838
7_5_1,1583,18178.0,603,4.3232
7_5_2,1595,18203.0,608,4.3193
7_8_1,2087,29519.0,870,4.6294
7_8_2,2066,28755.0,861,4.769
7_10_1,2303,49863.0,1070,4.7342
7_10_2,2299,45238.0,1066,4.7199
