Instance,Profit,WaitingTime,TotalTasks,RunTime
7_2_1,723,6779.0,258,0.3513
7_2_2,729,8806.0,262,0.3528
7_5_1,1583,18178.0,603,0.6455
7_5_2,1595,18203.0,608,0.6557
7_8_1,2087,29519.0,870,0.7858
7_8_2,2066,28755.0,861,0.8085
7_10_1,2303,49863.0,1070,0.8077
7_10_2,2298,43345.0,1065,0.8084
