Profit,Profit Growth,Algorithm,Hours
2087.0,,ISALS,0.0
2163.386206896552,,ISALS,0.0
2176.9815950920247,13.595388195472879,ISALS,0.5
2177.705882352941,0.7242872609162987,ISALS,1.0
2180.3881578947367,2.6822755417956614,ISALS,1.5
2183.22131147541,2.8331535806732973,ISALS,2.0
2184.269230769231,1.0479192938209962,ISALS,2.5
2185.0,0.7307692307690559,ISALS,3.0
2185.0,0.0,ISALS,3.5
2185.0,0.0,ISALS,4.0
2087.0,,SAILS,0.0
2157.3217391304347,,SAILS,0.0
2167.808035714286,10.486296583851072,SAILS,0.5
2169.0,1.1919642857142208,SAILS,1.0
2169.0,0.0,SAILS,1.5
2169.0,0.0,SAILS,2.0
2169.0,0.0,SAILS,2.5
2169.409090909091,0.4090909090909918,SAILS,3.0
2170.0,0.5909090909090082,SAILS,3.5
2170.0,0.0,SAILS,4.0
2087.0,,ILS,0.0
2157.3837417812315,,ILS,0.0
2165.0,7.6162582187685075,ILS,0.5
2165.1044045677,0.10440456769993034,ILS,1.0
2166.0,0.8955954323000697,ILS,1.5
2166.6466321243524,0.6466321243524362,ILS,2.0
2167.0,0.3533678756475638,ILS,2.5
2167.0,0.0,ILS,3.0
2167.2780269058294,0.2780269058293925,ILS,3.5
2168.0,0.7219730941706075,ILS,4.0
