Instance,Profit,WaitingTime,TotalTasks,Iterations,RunTime
7_2_1,1014,2773.0,352,1,6.3047
7_5_1,1996,10403.0,772,1,20.6266
7_8_1,2303,197260.0,1000,1,27.3159
7_10_1,2303,496382.0,1000,1,26.5974
