Instance,Profit,WaitingTime,TotalTasks,Iterations,RunTime
7_2_1,788,3574.0,279,6345,7212.8358
7_2_2,789,3348.0,280,6461,7215.2449
7_5_1,1674,9556.0,643,4243,7224.4552
7_5_2,1669,10176.0,638,4538,7220.0943
7_8_1,2166,17257.0,932,5661,7235.2644
7_8_2,2154,15711.0,929,6040,7235.749
