Instance,Profit,WaitingTime,TotalTasks,Iterations,RunTime
7_2_1,789,4193.0,279,674,7214.6229
7_2_2,791,3994.0,281,656,7215.2788
7_5_1,1668,9799.0,644,516,7224.8532
7_5_2,1666,10526.0,636,508,7217.2019
7_8_1,2166,16537.0,934,662,7230.7252
7_8_2,2154,15641.0,932,576,7229.9359
