Iteration,RunTime,Profit
0,0.0,731
2,13.775277853012085,765
3,20.890636205673218,772
4,27.206642150878906,773
5,35.470669984817505,773
6,45.43808388710022,775
7,51.98698902130127,775
8,58.32691502571106,775
9,67.51978516578674,775
10,78.1012110710144,775
11,87.09928607940674,775
12,94.16181206703186,777
13,101.23015904426575,780
14,107.84735488891602,780
15,114.18840408325195,780
16,122.27598595619202,780
17,128.0564730167389,780
18,136.70515704154968,780
19,144.31644105911255,780
20,151.22062611579895,780
21,157.73178505897522,780
22,165.6471140384674,780
23,172.3926501274109,780
24,178.68349289894104,780
25,185.72133684158325,780
26,195.49798798561096,780
27,202.2087790966034,780
28,210.78184604644775,780
29,221.43425107002258,780
30,229.59223198890686,780
31,244.67002701759338,780
32,253.53690099716187,780
33,261.9148950576782,780
34,270.7318868637085,780
35,282.33229398727417,780
36,291.98606610298157,780
37,304.9951310157776,782
38,317.53056287765503,782
39,332.7710371017456,783
40,342.19274711608887,783
41,354.30817008018494,783
42,363.72826409339905,783
43,375.51753783226013,783
44,384.73445892333984,783
45,394.2617528438568,783
46,404.2248909473419,783
47,414.22227120399475,783
48,426.29455399513245,783
49,435.95517086982727,783
50,446.7224349975586,783
51,457.59569001197815,783
52,467.49717688560486,783
53,478.0394320487976,783
54,488.17904019355774,783
55,500.8111629486084,783
56,517.1307420730591,783
57,527.7656478881836,783
58,536.615965127945,783
59,548.8431210517883,783
60,558.3956098556519,783
61,567.7003779411316,783
62,578.2736220359802,783
63,587.590756893158,784
64,595.753072977066,784
65,603.8434040546417,784
66,611.7265989780426,784
67,626.9676811695099,784
68,638.1358082294464,784
69,647.304770231247,784
70,655.4821140766144,784
71,662.7316792011261,784
72,671.1090269088745,784
73,679.3722441196442,784
74,690.4218609333038,784
75,704.711140871048,784
76,716.0816280841827,784
77,724.8119599819183,785
78,734.4124739170074,785
79,743.1616039276123,785
80,754.7459962368011,785
81,765.6732790470123,785
82,776.7268600463867,785
83,784.6053020954132,785
84,793.0328409671783,785
85,801.4449551105499,785
86,809.599739074707,785
87,817.9281229972839,785
88,826.7352652549744,785
89,837.4656569957733,786
90,846.5998239517212,786
91,859.4327421188354,786
92,869.8535060882568,786
93,880.7365550994873,786
94,891.1254842281342,786
95,902.2714450359344,786
96,910.641683101654,786
97,921.4311299324036,786
98,929.7407450675964,786
99,939.9439189434052,786
100,950.4818389415741,786
101,959.05615401268,786
102,968.0552389621735,786
103,979.3901672363281,786
104,988.7932550907135,786
105,1000.1027910709381,786
106,1009.7712960243225,786
107,1018.5718660354614,786
108,1026.7007162570953,786
109,1035.620922088623,786
110,1045.9284989833832,786
111,1054.86740899086,786
112,1063.3211181163788,786
113,1075.3032310009003,786
114,1084.3697838783264,786
115,1100.8816900253296,786
116,1113.2346410751343,786
117,1128.86137509346,786
118,1137.5129659175873,786
119,1146.5331020355225,786
120,1157.8397688865662,786
121,1169.6643180847168,786
122,1179.4825298786163,786
123,1191.8532900810242,786
124,1201.3841490745544,786
125,1210.636117219925,786
126,1220.4201810359955,786
127,1233.6122241020203,786
128,1245.5855560302734,786
129,1260.5197031497955,786
130,1272.823292016983,786
131,1286.1709821224213,786
132,1296.90944814682,786
133,1308.8391420841217,786
134,1318.1211550235748,786
135,1328.0539569854736,786
136,1337.443881034851,786
137,1350.8822209835052,786
138,1362.037248134613,786
139,1373.758374929428,786
140,1383.959440946579,786
141,1394.9023299217224,786
142,1406.5326070785522,786
143,1420.4554810523987,786
144,1432.918867111206,786
145,1449.4794368743896,786
146,1464.7574400901794,786
147,1475.5968420505524,786
148,1492.8987431526184,786
149,1506.9143640995026,786
150,1518.1666672229767,786
151,1529.4161100387573,786
152,1541.4685850143433,786
153,1552.1770300865173,786
154,1562.508337020874,786
155,1574.4965510368347,786
156,1588.5007710456848,786
157,1599.6584939956665,786
158,1610.9146831035614,786
159,1623.171257019043,786
160,1634.4983761310577,786
161,1645.508201122284,786
162,1656.8199591636658,786
163,1671.3463571071625,786
164,1685.9692811965942,786
165,1697.0727200508118,786
166,1710.9518721103668,786
167,1722.8891201019287,786
168,1734.5620970726013,786
169,1746.2062540054321,786
170,1762.1288061141968,786
171,1773.8988981246948,786
172,1785.0439660549164,786
173,1795.9557540416718,786
174,1808.3261888027191,786
175,1819.7337250709534,786
176,1831.1880440711975,786
177,1845.405079126358,786
178,1860.2262029647827,786
179,1870.579890012741,786
180,1888.7519881725311,786
181,1900.9497969150543,787
182,1909.5261421203613,787
183,1918.9768331050873,787
184,1928.355553150177,787
185,1937.4577980041504,787
186,1946.8920500278473,787
187,1956.5183250904083,787
188,1965.5494570732117,787
189,1977.8743178844452,787
190,1990.6777801513672,787
191,2002.7661600112915,787
192,2011.896052122116,787
193,2021.2044711112976,787
194,2030.7475271224976,787
