Instance,TotalProfit,WaitingTime,TotalTasks,RunTime,Timelimit,Iterations,MainTask
7_2_1,1042,992.0,356,7249.9101,7200,157,False
7_5_1,2056,3209.0,802,7214.5539,7200,465,False
